"id","label","feature_1","feature_2"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
1,"banana","1.23","4.56"
